trialNum matrixIndex leftValue leftTime rightValue rightTime choice
trialNum matrixIndex leftValue leftTime rightValue rightTime choice
  0 2732 470.00  0.00 800.00 47.14  1
  1 3761 490.00  0.00 800.00 521.43  0
  2 3279 410.00  0.00 800.00 208.57  0
  3 3041 400.00  0.00 800.00 130.36  0
  4 2961 390.00  0.00 800.00 104.29  1
  5 2961 390.00  0.00 800.00 78.21  1
  6 3117 370.00  0.00 800.00 156.43  0
  7 2961 400.00  0.00 800.00 130.36  1
  8 3042 410.00  0.00 800.00 130.36  0
  9 3042 390.00  0.00 800.00 156.43  1
 10 1896  10.00  0.00 800.00 10.71  1
 11 3205 460.00  0.00 800.00 182.50  0
 12 3041 400.00  0.00 800.00 130.36  1
 13 3205 450.00  0.00 800.00 156.43  0
 14 3040 390.00  0.00 800.00 130.36  0
 15 2954 320.00  0.00 800.00 104.29  1
 16 3042 410.00  0.00 800.00 130.36  0
 17 3042 400.00  0.00 800.00 104.29  1
 18 3042 390.00  0.00 800.00 156.43  1
 19 3040 390.00  0.00 800.00 130.36  1
