Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -4.6337  2.7194    -9.0026 -0.5184
      1  -2.2040  1.3979    -4.3514 -0.2619
      2  -1.1624  0.9176    -2.3412 -0.1425
      3  -0.6352  0.7300    -1.3308 -0.0827
      4  -0.3595  0.6342    -0.8725 -0.0527
      5  -0.6144  0.6776    -1.0388 -0.3504
      6  -0.5958  0.5139    -1.0191 -0.4183
      7  -0.5438  0.3857    -0.7953 -0.4034
      8  -0.4899  0.9292    -0.9424 -0.2477
      9  -0.7005  1.1524    -1.5603 -0.2894
     10  -0.6460  0.9313    -1.1361 -0.3139
     11  -0.6469  0.7934    -1.0581 -0.3805
     12  -1.1051  1.4999    -4.8478 -0.4620
     13  -0.8973  1.1622    -1.9873 -0.4543
     14  -1.6996  2.0004    -7.2464 -0.5271
     15  -1.3541  1.5715    -5.5217 -0.5301
     16  -1.1466  1.1999    -2.6295 -0.5324
     17  -1.0310  0.9119    -1.9661 -0.5340
     18  -1.4640  1.3433    -4.1769 -0.6030
     19  -1.3197  1.0390    -2.5153 -0.6052

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.1022  0.0586     0.0072  0.1899
      1   0.1024  0.0585     0.0072  0.1899
      2   0.1034  0.0581     0.0084  0.1901
      3   0.1050  0.0575     0.0102  0.1902
      4   0.1075  0.0565     0.0132  0.1906
      5   0.1008  0.0581     0.0087  0.1895
      6   0.1062  0.0564     0.0134  0.1902
      7   0.1155  0.0536     0.0215  0.1916
      8   0.0600  0.0432     0.0028  0.1452
      9   0.0413  0.0296     0.0001  0.0942
     10   0.0454  0.0301     0.0020  0.0988
     11   0.0489  0.0309     0.0038  0.1032
     12   0.0210  0.0156     0.0000  0.0472
     13   0.0233  0.0154     0.0001  0.0487
     14   0.0100  0.0078     0.0000  0.0206
     15   0.0112  0.0075     0.0000  0.0213
     16   0.0119  0.0071     0.0001  0.0218
     17   0.0123  0.0069     0.0003  0.0221
     18   0.0081  0.0043     0.0001  0.0132
     19   0.0085  0.0041     0.0001  0.0132

