Estimation of parameter k
  trial     mean   stdev    lower90 upper90
      0  -7.9628  1.3387    -4.0811 -6.3220
      1  -7.3357  1.2597    -8.5487 -5.1784
      2  -6.9862  1.2954    -7.9749 -4.1898
      3  -6.6289  1.4864    -7.7369 -2.8530
      4  -5.7271  2.0089    -7.9782 -1.2031
      5  -4.5254  2.3026    -8.3595 -0.5953
      6  -4.5428  2.1745    -7.8910 -0.6511
      7  -5.1645  1.7433    -7.6584 -1.5281
      8  -4.5194  2.6873    -8.9479 -0.4754
      9  -4.5344  2.6676    -8.9377 -0.4853
     10  -4.5067  2.7077    -8.9596 -0.4678
     11  -4.5474  2.7085    -8.9698 -0.4768
     12  -4.5852  2.7047    -8.9771 -0.4877
     13  -4.6197  2.6986    -8.9827 -0.4999
     14  -4.6610  2.6985    -8.9922 -0.5096
     15  -4.7029  2.6945    -8.9996 -0.5212
     16  -4.7414  2.6838    -9.0030 -0.5365
     17  -4.6961  2.6995    -9.0018 -0.5181
     18  -4.7362  2.6983    -9.0106 -0.5284
     19  -4.7760  2.6955    -9.0186 -0.5397

Estimation of parameter e
  trial     mean   stdev    lower90 upper90
      0   0.0970  0.0613     0.0001  0.1893
      1   0.0918  0.0627     0.0001  0.1886
      2   0.0878  0.0636     0.0001  0.1878
      3   0.0702  0.0616     0.0000  0.1812
      4   0.0176  0.0225     0.0000  0.0606
      5   0.0046  0.0049     0.0000  0.0109
      6   0.0059  0.0048     0.0000  0.0119
      7   0.0069  0.0051     0.0000  0.0131
      8   0.0003  0.0010     0.0000  0.0001
      9   0.0004  0.0014     0.0000  0.0001
     10   0.0001  0.0001     0.0000  0.0001
     11   0.0001  0.0002     0.0000  0.0001
     12   0.0001  0.0002     0.0000  0.0001
     13   0.0001  0.0003     0.0000  0.0001
     14   0.0001  0.0004     0.0000  0.0001
     15   0.0001  0.0005     0.0000  0.0001
     16   0.0002  0.0007     0.0000  0.0001
     17   0.0001  0.0001     0.0000  0.0001
     18   0.0001  0.0001     0.0000  0.0001
     19   0.0001  0.0001     0.0000  0.0001

